quest_id,type,title,description,target_type,target,target_figure,trig_condition,quest_reward
4001,main,"""영업 준비의 첫걸음""","""상점에서 고블린 꼬치 구이 재료 구매""",collect,"ING01:2, ING02:1",1,"""게임 처음 시작시""","""골드 50"""
4002,main,"""메뉴판 작성""","""일일메뉴 1가지 이상 편성하기""",count,메뉴 편성 개수,1,"""qst_4001 완료시""","""rcp_id: 1002 해금"""
4003,main,"""초보 장사꾼""","""누적 주문 10개 받기""",count,누적 주문량,10,"""qst_4002 완료시""","""명성도 10"""
4004,main,"""장사의 시작""","""100골드 이상 보유하기""",collect,골드 보유량,100,"""qst_4003 완료시""","""레시피 도감 활성화"""
4005,main,"""초보 요리 연구가""","""1개 레시피 레벨 3 달성""",level,레시피 레벨,3,"""qst_4004 완료시""","""직원 메뉴 활성화"""
4006,main,"""직원 고용하기""","""직원 메뉴에서 직원 1명 고용하기""",collect,고용한 직원 수,1,"""qst_4005 완료시""","""명성도 10"""
4007,main,"""직원 배치하기""","""직원 메뉴에서 직원 1명 배치하기""",count,배치된 직원 수,1,"""qst_4006 완료시""","""골드 100"""
4008,main,"""손님 있는 식당""","""식당 명성도 레벨 2 도달하기""",level,식당 명성도 레벨,2,"""명성도 1레벨""","""골드 200"""
5001,daily,"""완벽한 하루""","""만족도가 불만인 손님 없이 영업 마감하기""",count,불만인 손님 수,0,"""매일 아침 랜덤으로 갱신""","""명성도 20"""
5002,daily,"""팁을 두둑하게""","""당일 팁 총합 50골드 획득""",collect,당일 받은 팁 금액,50,"""매일 아침 랜덤으로 갱신""","""골드 150"""
5003,daily,"""버섯 파티""","""버섯을 이용한 요리 5회 판매""",count,판매한 버섯 요리 개수,5,"""매일 아침 랜덤으로 갱신""","""rcp_id: 1006 해금"""
5004,daily,"""새로운 맛""","""상점에서 새로운 레시피 1개 구매""",collect,신규 레시피 추가,1,"""매일 아침 랜덤으로 갱신""","""명성도 10"""
6001,vip,"""미식가 고블린""","""레벨 5이상의 요리 제공""",level,미식가 고블린에게 제공한 요리의 레벨,5,"""qst_4008 완료 후 랜덤으로 등장""","""명성도 80"""
